Year,Outperformed?,Interest Rate (Federal Funds Effective Rate),CPI,UnemploymentRate,GDPGrowthRate,GICS Sector,GICS Sub-Industry,Founded,Gender,CEO Transition,Tenure Bucket,HQ_US_State_or_Country,Salary_Bucket
2019,1,2.4,1.8,3.7,2.5,Consumer Discretionary,Automobile Manufacturers,2003,M,0.0,10+ years,Texas,"(50000000, 300000000]"
2020,1,1.55,1.2,8.1,-2.2,Consumer Discretionary,Automobile Manufacturers,2003,M,0.0,10+ years,Texas,"(50000000, 300000000]"
2021,1,0.09,4.7,5.4,5.8,Consumer Discretionary,Automobile Manufacturers,2003,M,0.0,10+ years,Texas,"(50000000, 300000000]"
2022,0,0.08,8.0,3.6,1.9,Consumer Discretionary,Automobile Manufacturers,2003,M,0.0,10+ years,Texas,"(50000000, 300000000]"
2023,1,4.33,3.2,3.5,2.5,Consumer Discretionary,Automobile Manufacturers,2003,M,0.0,10+ years,Texas,"(50000000, 300000000]"
2015,1,0.11,0.1,5.3,2.9,Consumer Staples,Packaged Foods & Meats,1935,M,0.0,10+ years,Arkansas,"(10000000, 15000000]"
2016,1,0.34,1.3,4.9,1.8,Consumer Staples,Packaged Foods & Meats,1935,M,0.0,10+ years,Arkansas,"(10000000, 15000000]"
2017,1,0.65,2.1,4.4,2.5,Consumer Staples,Packaged Foods & Meats,1935,M,1.0,<= 2 years,Arkansas,"(10000000, 15000000]"
2018,0,1.41,2.4,3.9,3.0,Consumer Staples,Packaged Foods & Meats,1935,M,1.0,<= 2 years,Arkansas,"(10000000, 15000000]"
2019,1,2.4,1.8,3.7,2.5,Consumer Staples,Packaged Foods & Meats,1935,M,0.0,<= 2 years,Arkansas,"(10000000, 15000000]"
2020,0,1.55,1.2,8.1,-2.2,Consumer Staples,Packaged Foods & Meats,1935,M,1.0,<= 2 years,Arkansas,"(10000000, 15000000]"
2021,1,0.09,4.7,5.4,5.8,Consumer Staples,Packaged Foods & Meats,1935,M,1.0,<= 2 years,Arkansas,"(10000000, 15000000]"
2022,0,0.08,8.0,3.6,1.9,Consumer Staples,Packaged Foods & Meats,1935,M,0.0,<= 2 years,Arkansas,"(10000000, 15000000]"
2023,0,4.33,3.2,3.5,2.5,Consumer Staples,Packaged Foods & Meats,1935,M,0.0,<= 2 years,Arkansas,"(10000000, 15000000]"
2015,0,0.11,0.1,5.3,2.9,Industrials,Building Products,1871,M,0.0,2 to 5 years,Ireland,"(10000000, 15000000]"
2016,1,0.34,1.3,4.9,1.8,Industrials,Building Products,1871,M,0.0,5 to 10 years,Ireland,"(10000000, 15000000]"
2017,0,0.65,2.1,4.4,2.5,Industrials,Building Products,1871,M,0.0,5 to 10 years,Ireland,"(10000000, 15000000]"
2018,1,1.41,2.4,3.9,3.0,Industrials,Building Products,1871,M,0.0,5 to 10 years,Ireland,"(10000000, 15000000]"
2019,1,2.4,1.8,3.7,2.5,Industrials,Building Products,1871,M,0.0,5 to 10 years,Ireland,"(10000000, 15000000]"
2020,1,1.55,1.2,8.1,-2.2,Industrials,Building Products,1871,M,0.0,10+ years,Ireland,"(10000000, 15000000]"
2021,1,0.09,4.7,5.4,5.8,Industrials,Building Products,1871,M,1.0,<= 2 years,Ireland,"(10000000, 15000000]"
2022,1,0.08,8.0,3.6,1.9,Industrials,Building Products,1871,M,0.0,<= 2 years,Ireland,"(10000000, 15000000]"
2023,1,4.33,3.2,3.5,2.5,Industrials,Building Products,1871,M,0.0,<= 2 years,Ireland,"(10000000, 15000000]"
2015,1,0.11,0.1,5.3,2.9,Communication Services,Interactive Home Entertainment,1993,M,0.0,2 to 5 years,New York,"(0, 5000000]"
2016,1,0.34,1.3,4.9,1.8,Communication Services,Interactive Home Entertainment,1993,M,0.0,2 to 5 years,New York,"(0, 5000000]"
2017,1,0.65,2.1,4.4,2.5,Communication Services,Interactive Home Entertainment,1993,M,0.0,5 to 10 years,New York,"(0, 5000000]"
2018,1,1.41,2.4,3.9,3.0,Communication Services,Interactive Home Entertainment,1993,M,0.0,5 to 10 years,New York,"(0, 5000000]"
2019,0,2.4,1.8,3.7,2.5,Communication Services,Interactive Home Entertainment,1993,M,0.0,5 to 10 years,New York,"(0, 5000000]"
2020,1,1.55,1.2,8.1,-2.2,Communication Services,Interactive Home Entertainment,1993,M,0.0,5 to 10 years,New York,"(0, 5000000]"
2021,0,0.09,4.7,5.4,5.8,Communication Services,Interactive Home Entertainment,1993,M,0.0,10+ years,New York,"(0, 5000000]"
2022,0,0.08,8.0,3.6,1.9,Communication Services,Interactive Home Entertainment,1993,M,0.0,10+ years,New York,"(0, 5000000]"
2023,1,4.33,3.2,3.5,2.5,Communication Services,Interactive Home Entertainment,1993,M,0.0,10+ years,New York,"(0, 5000000]"
2015,1,0.11,0.1,5.3,2.9,Information Technology,Semiconductors,1930,M,0.0,10+ years,Texas,"(20000000, 25000000]"
2016,1,0.34,1.3,4.9,1.8,Information Technology,Semiconductors,1930,M,0.0,10+ years,Texas,"(20000000, 25000000]"
2017,1,0.65,2.1,4.4,2.5,Information Technology,Semiconductors,1930,M,0.0,10+ years,Texas,"(20000000, 25000000]"
2018,0,1.41,2.4,3.9,3.0,Information Technology,Semiconductors,1930,M,0.0,10+ years,Texas,"(20000000, 25000000]"
2019,1,2.4,1.8,3.7,2.5,Information Technology,Semiconductors,1930,M,0.0,10+ years,Texas,"(20000000, 25000000]"
2020,1,1.55,1.2,8.1,-2.2,Information Technology,Semiconductors,1930,M,0.0,10+ years,Texas,"(20000000, 25000000]"
2021,0,0.09,4.7,5.4,5.8,Information Technology,Semiconductors,1930,M,0.0,10+ years,Texas,"(20000000, 25000000]"
2022,1,0.08,8.0,3.6,1.9,Information Technology,Semiconductors,1930,M,0.0,10+ years,Texas,"(20000000, 25000000]"
2023,0,4.33,3.2,3.5,2.5,Information Technology,Semiconductors,1930,M,0.0,10+ years,Texas,"(20000000, 25000000]"
2015,0,0.11,0.1,5.3,2.9,Industrials,Aerospace & Defense,1923,M,0.0,10+ years,Rhode Island,"(15000000, 20000000]"
2016,1,0.34,1.3,4.9,1.8,Industrials,Aerospace & Defense,1923,M,0.0,5 to 10 years,Rhode Island,"(15000000, 20000000]"
2017,0,0.65,2.1,4.4,2.5,Industrials,Aerospace & Defense,1923,M,0.0,5 to 10 years,Rhode Island,"(15000000, 20000000]"
2018,0,1.41,2.4,3.9,3.0,Industrials,Aerospace & Defense,1923,M,0.0,5 to 10 years,Rhode Island,"(15000000, 20000000]"
2019,0,2.4,1.8,3.7,2.5,Industrials,Aerospace & Defense,1923,M,0.0,5 to 10 years,Rhode Island,"(15000000, 20000000]"
2020,0,1.55,1.2,8.1,-2.2,Industrials,Aerospace & Defense,1923,M,0.0,5 to 10 years,Rhode Island,"(15000000, 20000000]"
2021,1,0.09,4.7,5.4,5.8,Industrials,Aerospace & Defense,1923,M,0.0,10+ years,Rhode Island,"(15000000, 20000000]"
2022,1,0.08,8.0,3.6,1.9,Industrials,Aerospace & Defense,1923,M,0.0,10+ years,Rhode Island,"(15000000, 20000000]"
2023,0,4.33,3.2,3.5,2.5,Industrials,Aerospace & Defense,1923,M,0.0,10+ years,Rhode Island,"(15000000, 20000000]"
2015,1,0.11,0.1,5.3,2.9,Information Technology,Application Software,1966,M,0.0,10+ years,Texas,"(5000000, 10000000]"
2016,0,0.34,1.3,4.9,1.8,Information Technology,Application Software,1966,M,0.0,10+ years,Texas,"(5000000, 10000000]"
2017,1,0.65,2.1,4.4,2.5,Information Technology,Application Software,1966,M,0.0,10+ years,Texas,"(5000000, 10000000]"
2018,1,1.41,2.4,3.9,3.0,Information Technology,Application Software,1966,M,1.0,<= 2 years,Texas,"(5000000, 10000000]"
2019,1,2.4,1.8,3.7,2.5,Information Technology,Application Software,1966,M,0.0,<= 2 years,Texas,"(5000000, 10000000]"
2020,1,1.55,1.2,8.1,-2.2,Information Technology,Application Software,1966,M,0.0,<= 2 years,Texas,"(5000000, 10000000]"
2021,0,0.09,4.7,5.4,5.8,Information Technology,Application Software,1966,M,0.0,2 to 5 years,Texas,"(5000000, 10000000]"
2022,0,0.08,8.0,3.6,1.9,Information Technology,Application Software,1966,M,0.0,2 to 5 years,Texas,"(5000000, 10000000]"
2023,1,4.33,3.2,3.5,2.5,Information Technology,Application Software,1966,M,0.0,2 to 5 years,Texas,"(5000000, 10000000]"
2015,0,0.11,0.1,5.3,2.9,Industrials,Passenger Airlines,1967,M,1.0,<= 2 years,Illinois,"(5000000, 10000000]"
2016,1,0.34,1.3,4.9,1.8,Industrials,Passenger Airlines,1967,M,0.0,<= 2 years,Illinois,"(5000000, 10000000]"
2017,0,0.65,2.1,4.4,2.5,Industrials,Passenger Airlines,1967,M,0.0,<= 2 years,Illinois,"(5000000, 10000000]"
2018,1,1.41,2.4,3.9,3.0,Industrials,Passenger Airlines,1967,M,0.0,2 to 5 years,Illinois,"(5000000, 10000000]"
2019,0,2.4,1.8,3.7,2.5,Industrials,Passenger Airlines,1967,M,1.0,<= 2 years,Illinois,"(5000000, 10000000]"
2020,0,1.55,1.2,8.1,-2.2,Industrials,Passenger Airlines,1967,M,0.0,<= 2 years,Illinois,"(5000000, 10000000]"
2021,0,0.09,4.7,5.4,5.8,Industrials,Passenger Airlines,1967,M,0.0,<= 2 years,Illinois,"(5000000, 10000000]"
2022,1,0.08,8.0,3.6,1.9,Industrials,Passenger Airlines,1967,M,0.0,2 to 5 years,Illinois,"(5000000, 10000000]"
2023,0,4.33,3.2,3.5,2.5,Industrials,Passenger Airlines,1967,M,0.0,2 to 5 years,Illinois,"(5000000, 10000000]"
2019,0,2.4,1.8,3.7,2.5,Industrials,Passenger Ground Transportation,2009,M,0.0,2 to 5 years,California,"(20000000, 25000000]"
2020,1,1.55,1.2,8.1,-2.2,Industrials,Passenger Ground Transportation,2009,M,0.0,2 to 5 years,California,"(20000000, 25000000]"
2021,0,0.09,4.7,5.4,5.8,Industrials,Passenger Ground Transportation,2009,M,0.0,2 to 5 years,California,"(20000000, 25000000]"
2022,0,0.08,8.0,3.6,1.9,Industrials,Passenger Ground Transportation,2009,M,0.0,2 to 5 years,California,"(20000000, 25000000]"
2023,1,4.33,3.2,3.5,2.5,Industrials,Passenger Ground Transportation,2009,M,0.0,5 to 10 years,California,"(20000000, 25000000]"
2015,1,0.11,0.1,5.3,2.9,Real Estate,Multi-Family Residential REITs,1972,M,0.0,5 to 10 years,Colorado,"(5000000, 10000000]"
2016,0,0.34,1.3,4.9,1.8,Real Estate,Multi-Family Residential REITs,1972,M,0.0,10+ years,Colorado,"(5000000, 10000000]"
2017,0,0.65,2.1,4.4,2.5,Real Estate,Multi-Family Residential REITs,1972,M,0.0,10+ years,Colorado,"(5000000, 10000000]"
2018,1,1.41,2.4,3.9,3.0,Real Estate,Multi-Family Residential REITs,1972,M,0.0,10+ years,Colorado,"(5000000, 10000000]"
2019,0,2.4,1.8,3.7,2.5,Real Estate,Multi-Family Residential REITs,1972,M,0.0,10+ years,Colorado,"(5000000, 10000000]"
2020,0,1.55,1.2,8.1,-2.2,Real Estate,Multi-Family Residential REITs,1972,M,0.0,10+ years,Colorado,"(5000000, 10000000]"
2021,1,0.09,4.7,5.4,5.8,Real Estate,Multi-Family Residential REITs,1972,M,0.0,10+ years,Colorado,"(5000000, 10000000]"
2022,0,0.08,8.0,3.6,1.9,Real Estate,Multi-Family Residential REITs,1972,M,0.0,10+ years,Colorado,"(5000000, 10000000]"
2023,0,4.33,3.2,3.5,2.5,Real Estate,Multi-Family Residential REITs,1972,M,0.0,10+ years,Colorado,"(5000000, 10000000]"
2015,1,0.11,0.1,5.3,2.9,Health Care,Health Care Facilities,1979,M,0.0,10+ years,Pennsylvania,"(10000000, 15000000]"
2016,0,0.34,1.3,4.9,1.8,Health Care,Health Care Facilities,1979,M,0.0,10+ years,Pennsylvania,"(10000000, 15000000]"
2017,0,0.65,2.1,4.4,2.5,Health Care,Health Care Facilities,1979,M,0.0,10+ years,Pennsylvania,"(10000000, 15000000]"
2018,1,1.41,2.4,3.9,3.0,Health Care,Health Care Facilities,1979,M,0.0,10+ years,Pennsylvania,"(10000000, 15000000]"
2019,0,2.4,1.8,3.7,2.5,Health Care,Health Care Facilities,1979,M,0.0,10+ years,Pennsylvania,"(10000000, 15000000]"
2020,0,1.55,1.2,8.1,-2.2,Health Care,Health Care Facilities,1979,M,0.0,10+ years,Pennsylvania,"(10000000, 15000000]"
2021,0,0.09,4.7,5.4,5.8,Health Care,Health Care Facilities,1979,M,1.0,<= 2 years,Pennsylvania,"(10000000, 15000000]"
2022,1,0.08,8.0,3.6,1.9,Health Care,Health Care Facilities,1979,M,0.0,<= 2 years,Pennsylvania,"(10000000, 15000000]"
2023,0,4.33,3.2,3.5,2.5,Health Care,Health Care Facilities,1979,M,0.0,<= 2 years,Pennsylvania,"(10000000, 15000000]"
2015,1,0.11,0.1,5.3,2.9,Consumer Discretionary,Other Specialty Retail,1990,F,0.0,2 to 5 years,Illinois,"(10000000, 15000000]"
2016,1,0.34,1.3,4.9,1.8,Consumer Discretionary,Other Specialty Retail,1990,F,0.0,2 to 5 years,Illinois,"(10000000, 15000000]"
2017,0,0.65,2.1,4.4,2.5,Consumer Discretionary,Other Specialty Retail,1990,F,0.0,2 to 5 years,Illinois,"(10000000, 15000000]"
2018,1,1.41,2.4,3.9,3.0,Consumer Discretionary,Other Specialty Retail,1990,F,0.0,2 to 5 years,Illinois,"(10000000, 15000000]"
2019,0,2.4,1.8,3.7,2.5,Consumer Discretionary,Other Specialty Retail,1990,F,1.0,<= 2 years,Illinois,"(10000000, 15000000]"
2020,0,1.55,1.2,8.1,-2.2,Consumer Discretionary,Other Specialty Retail,1990,F,0.0,<= 2 years,Illinois,"(10000000, 15000000]"
2021,1,0.09,4.7,5.4,5.8,Consumer Discretionary,Other Specialty Retail,1990,M,1.0,<= 2 years,Illinois,"(10000000, 15000000]"
2022,1,0.08,8.0,3.6,1.9,Consumer Discretionary,Other Specialty Retail,1990,M,0.0,2 to 5 years,Illinois,"(10000000, 15000000]"
2023,0,4.33,3.2,3.5,2.5,Consumer Discretionary,Other Specialty Retail,1990,M,0.0,2 to 5 years,Illinois,"(10000000, 15000000]"
2015,1,0.11,0.1,5.3,2.9,Health Care,Managed Health Care,1977,M,0.0,2 to 5 years,Minnesota,"(20000000, 25000000]"
2016,1,0.34,1.3,4.9,1.8,Health Care,Managed Health Care,1977,M,0.0,10+ years,Minnesota,"(20000000, 25000000]"
2017,1,0.65,2.1,4.4,2.5,Health Care,Managed Health Care,1977,M,0.0,10+ years,Minnesota,"(20000000, 25000000]"
2018,1,1.41,2.4,3.9,3.0,Health Care,Managed Health Care,1977,M,0.0,10+ years,Minnesota,"(20000000, 25000000]"
2019,0,2.4,1.8,3.7,2.5,Health Care,Managed Health Care,1977,M,1.0,<= 2 years,Minnesota,"(20000000, 25000000]"
2020,1,1.55,1.2,8.1,-2.2,Health Care,Managed Health Care,1977,M,0.0,<= 2 years,Minnesota,"(20000000, 25000000]"
2021,1,0.09,4.7,5.4,5.8,Health Care,Managed Health Care,1977,M,0.0,<= 2 years,Minnesota,"(20000000, 25000000]"
2022,1,0.08,8.0,3.6,1.9,Health Care,Managed Health Care,1977,M,0.0,2 to 5 years,Minnesota,"(20000000, 25000000]"
2023,0,4.33,3.2,3.5,2.5,Health Care,Managed Health Care,1977,M,0.0,2 to 5 years,Minnesota,"(20000000, 25000000]"
2015,0,0.11,0.1,5.3,2.9,Industrials,Rail Transportation,1862,M,1.0,<= 2 years,Nebraska,"(10000000, 15000000]"
2016,1,0.34,1.3,4.9,1.8,Industrials,Rail Transportation,1862,M,0.0,<= 2 years,Nebraska,"(10000000, 15000000]"
2017,1,0.65,2.1,4.4,2.5,Industrials,Rail Transportation,1862,M,0.0,<= 2 years,Nebraska,"(10000000, 15000000]"
2018,1,1.41,2.4,3.9,3.0,Industrials,Rail Transportation,1862,M,0.0,2 to 5 years,Nebraska,"(10000000, 15000000]"
2019,1,2.4,1.8,3.7,2.5,Industrials,Rail Transportation,1862,M,0.0,2 to 5 years,Nebraska,"(10000000, 15000000]"
2020,0,1.55,1.2,8.1,-2.2,Industrials,Rail Transportation,1862,M,0.0,2 to 5 years,Nebraska,"(10000000, 15000000]"
2021,0,0.09,4.7,5.4,5.8,Industrials,Rail Transportation,1862,M,0.0,5 to 10 years,Nebraska,"(10000000, 15000000]"
2022,1,0.08,8.0,3.6,1.9,Industrials,Rail Transportation,1862,M,0.0,5 to 10 years,Nebraska,"(10000000, 15000000]"
2023,0,4.33,3.2,3.5,2.5,Industrials,Rail Transportation,1862,M,1.0,<= 2 years,Nebraska,"(10000000, 15000000]"
2015,0,0.11,0.1,5.3,2.9,Industrials,Air Freight & Logistics,1907,M,0.0,<= 2 years,Georgia,"(15000000, 20000000]"
2016,1,0.34,1.3,4.9,1.8,Industrials,Air Freight & Logistics,1907,M,0.0,<= 2 years,Georgia,"(15000000, 20000000]"
2017,0,0.65,2.1,4.4,2.5,Industrials,Air Freight & Logistics,1907,M,0.0,2 to 5 years,Georgia,"(15000000, 20000000]"
2018,0,1.41,2.4,3.9,3.0,Industrials,Air Freight & Logistics,1907,M,0.0,2 to 5 years,Georgia,"(15000000, 20000000]"
2019,0,2.4,1.8,3.7,2.5,Industrials,Air Freight & Logistics,1907,M,0.0,2 to 5 years,Georgia,"(15000000, 20000000]"
2020,1,1.55,1.2,8.1,-2.2,Industrials,Air Freight & Logistics,1907,F,1.0,<= 2 years,Georgia,"(15000000, 20000000]"
2021,1,0.09,4.7,5.4,5.8,Industrials,Air Freight & Logistics,1907,F,0.0,<= 2 years,Georgia,"(15000000, 20000000]"
2022,1,0.08,8.0,3.6,1.9,Industrials,Air Freight & Logistics,1907,F,0.0,<= 2 years,Georgia,"(15000000, 20000000]"
2023,0,4.33,3.2,3.5,2.5,Industrials,Air Freight & Logistics,1907,F,0.0,2 to 5 years,Georgia,"(15000000, 20000000]"
2015,0,0.11,0.1,5.3,2.9,Industrials,Trading Companies & Distributors,1997,M,0.0,2 to 5 years,Connecticut,"(10000000, 15000000]"
2016,1,0.34,1.3,4.9,1.8,Industrials,Trading Companies & Distributors,1997,M,0.0,10+ years,Connecticut,"(10000000, 15000000]"
2017,1,0.65,2.1,4.4,2.5,Industrials,Trading Companies & Distributors,1997,M,0.0,10+ years,Connecticut,"(10000000, 15000000]"
2018,0,1.41,2.4,3.9,3.0,Industrials,Trading Companies & Distributors,1997,M,0.0,10+ years,Connecticut,"(10000000, 15000000]"
2019,1,2.4,1.8,3.7,2.5,Industrials,Trading Companies & Distributors,1997,M,1.0,<= 2 years,Connecticut,"(10000000, 15000000]"
2020,1,1.55,1.2,8.1,-2.2,Industrials,Trading Companies & Distributors,1997,M,0.0,<= 2 years,Connecticut,"(10000000, 15000000]"
2021,1,0.09,4.7,5.4,5.8,Industrials,Trading Companies & Distributors,1997,M,0.0,<= 2 years,Connecticut,"(10000000, 15000000]"
2022,1,0.08,8.0,3.6,1.9,Industrials,Trading Companies & Distributors,1997,M,0.0,2 to 5 years,Connecticut,"(10000000, 15000000]"
2023,1,4.33,3.2,3.5,2.5,Industrials,Trading Companies & Distributors,1997,M,0.0,2 to 5 years,Connecticut,"(10000000, 15000000]"
2015,0,0.11,0.1,5.3,2.9,Financials,Diversified Banks,1968,M,0.0,2 to 5 years,Minnesota,"(15000000, 20000000]"
2016,1,0.34,1.3,4.9,1.8,Financials,Diversified Banks,1968,M,1.0,<= 2 years,Minnesota,"(15000000, 20000000]"
2017,0,0.65,2.1,4.4,2.5,Financials,Diversified Banks,1968,M,0.0,<= 2 years,Minnesota,"(15000000, 20000000]"
2018,0,1.41,2.4,3.9,3.0,Financials,Diversified Banks,1968,M,0.0,<= 2 years,Minnesota,"(15000000, 20000000]"
2019,1,2.4,1.8,3.7,2.5,Financials,Diversified Banks,1968,M,0.0,2 to 5 years,Minnesota,"(15000000, 20000000]"
2020,0,1.55,1.2,8.1,-2.2,Financials,Diversified Banks,1968,M,0.0,2 to 5 years,Minnesota,"(15000000, 20000000]"
2021,0,0.09,4.7,5.4,5.8,Financials,Diversified Banks,1968,M,0.0,2 to 5 years,Minnesota,"(15000000, 20000000]"
2022,0,0.08,8.0,3.6,1.9,Financials,Diversified Banks,1968,M,0.0,5 to 10 years,Minnesota,"(15000000, 20000000]"
2023,0,4.33,3.2,3.5,2.5,Financials,Diversified Banks,1968,M,0.0,5 to 10 years,Minnesota,"(15000000, 20000000]"
2015,1,0.11,0.1,5.3,2.9,Financials,Transaction & Payment Processing Services,1958,M,0.0,5 to 10 years,California,"(25000000, 50000000]"
2016,0,0.34,1.3,4.9,1.8,Financials,Transaction & Payment Processing Services,1958,M,1.0,<= 2 years,California,"(25000000, 50000000]"
2017,1,0.65,2.1,4.4,2.5,Financials,Transaction & Payment Processing Services,1958,M,0.0,<= 2 years,California,"(25000000, 50000000]"
2018,1,1.41,2.4,3.9,3.0,Financials,Transaction & Payment Processing Services,1958,M,0.0,<= 2 years,California,"(25000000, 50000000]"
2019,1,2.4,1.8,3.7,2.5,Financials,Transaction & Payment Processing Services,1958,M,0.0,2 to 5 years,California,"(25000000, 50000000]"
2020,0,1.55,1.2,8.1,-2.2,Financials,Transaction & Payment Processing Services,1958,M,0.0,2 to 5 years,California,"(25000000, 50000000]"
2021,0,0.09,4.7,5.4,5.8,Financials,Transaction & Payment Processing Services,1958,M,0.0,2 to 5 years,California,"(25000000, 50000000]"
2022,1,0.08,8.0,3.6,1.9,Financials,Transaction & Payment Processing Services,1958,M,0.0,5 to 10 years,California,"(25000000, 50000000]"
2023,1,4.33,3.2,3.5,2.5,Financials,Transaction & Payment Processing Services,1958,M,0.0,5 to 10 years,California,"(25000000, 50000000]"
2018,0,1.41,2.4,3.9,3.0,Real Estate,Hotel & Resort REITs,2017,M,0.0,5 to 10 years,New York,"(10000000, 15000000]"
2019,1,2.4,1.8,3.7,2.5,Real Estate,Hotel & Resort REITs,2017,M,0.0,<= 2 years,New York,"(10000000, 15000000]"
2020,0,1.55,1.2,8.1,-2.2,Real Estate,Hotel & Resort REITs,2017,M,0.0,2 to 5 years,New York,"(10000000, 15000000]"
2021,0,0.09,4.7,5.4,5.8,Real Estate,Hotel & Resort REITs,2017,M,0.0,2 to 5 years,New York,"(10000000, 15000000]"
2022,1,0.08,8.0,3.6,1.9,Real Estate,Hotel & Resort REITs,2017,M,0.0,2 to 5 years,New York,"(10000000, 15000000]"
2023,0,4.33,3.2,3.5,2.5,Real Estate,Hotel & Resort REITs,2017,M,0.0,5 to 10 years,New York,"(10000000, 15000000]"
2015,1,0.11,0.1,5.3,2.9,Energy,Oil & Gas Refining & Marketing,1980,M,0.0,5 to 10 years,Texas,"(20000000, 25000000]"
2016,0,0.34,1.3,4.9,1.8,Energy,Oil & Gas Refining & Marketing,1980,M,0.0,<= 2 years,Texas,"(20000000, 25000000]"
2017,1,0.65,2.1,4.4,2.5,Energy,Oil & Gas Refining & Marketing,1980,M,0.0,2 to 5 years,Texas,"(20000000, 25000000]"
2018,0,1.41,2.4,3.9,3.0,Energy,Oil & Gas Refining & Marketing,1980,M,0.0,2 to 5 years,Texas,"(20000000, 25000000]"
2019,0,2.4,1.8,3.7,2.5,Energy,Oil & Gas Refining & Marketing,1980,M,0.0,2 to 5 years,Texas,"(20000000, 25000000]"
2020,0,1.55,1.2,8.1,-2.2,Energy,Oil & Gas Refining & Marketing,1980,M,0.0,5 to 10 years,Texas,"(20000000, 25000000]"
2021,1,0.09,4.7,5.4,5.8,Energy,Oil & Gas Refining & Marketing,1980,M,0.0,5 to 10 years,Texas,"(20000000, 25000000]"
2022,1,0.08,8.0,3.6,1.9,Energy,Oil & Gas Refining & Marketing,1980,M,0.0,5 to 10 years,Texas,"(20000000, 25000000]"
2023,0,4.33,3.2,3.5,2.5,Energy,Oil & Gas Refining & Marketing,1980,M,0.0,5 to 10 years,Texas,"(20000000, 25000000]"
2023,0,4.33,3.2,3.5,2.5,Industrials,Environmental & Facilities Services,2023,F,0.0,5 to 10 years,Massachusetts,"(5000000, 10000000]"
2015,1,0.11,0.1,5.3,2.9,Materials,Construction Materials,1909,M,0.0,10+ years,Alabama,"(10000000, 15000000]"
2016,1,0.34,1.3,4.9,1.8,Materials,Construction Materials,1909,M,0.0,<= 2 years,Alabama,"(10000000, 15000000]"
2017,0,0.65,2.1,4.4,2.5,Materials,Construction Materials,1909,M,0.0,2 to 5 years,Alabama,"(10000000, 15000000]"
2018,0,1.41,2.4,3.9,3.0,Materials,Construction Materials,1909,M,0.0,2 to 5 years,Alabama,"(10000000, 15000000]"
2019,1,2.4,1.8,3.7,2.5,Materials,Construction Materials,1909,M,0.0,2 to 5 years,Alabama,"(10000000, 15000000]"
2020,0,1.55,1.2,8.1,-2.2,Materials,Construction Materials,1909,M,0.0,5 to 10 years,Alabama,"(10000000, 15000000]"
2021,1,0.09,4.7,5.4,5.8,Materials,Construction Materials,1909,M,0.0,5 to 10 years,Alabama,"(10000000, 15000000]"
2022,1,0.08,8.0,3.6,1.9,Materials,Construction Materials,1909,M,0.0,5 to 10 years,Alabama,"(10000000, 15000000]"
2023,1,4.33,3.2,3.5,2.5,Materials,Construction Materials,1909,M,0.0,5 to 10 years,Alabama,"(10000000, 15000000]"
2015,1,0.11,0.1,5.3,2.9,Industrials,Research & Consulting Services,1971,M,0.0,5 to 10 years,New Jersey,"(5000000, 10000000]"
2016,0,0.34,1.3,4.9,1.8,Industrials,Research & Consulting Services,1971,M,0.0,2 to 5 years,New Jersey,"(5000000, 10000000]"
2017,0,0.65,2.1,4.4,2.5,Industrials,Research & Consulting Services,1971,M,0.0,5 to 10 years,New Jersey,"(5000000, 10000000]"
2018,1,1.41,2.4,3.9,3.0,Industrials,Research & Consulting Services,1971,M,0.0,5 to 10 years,New Jersey,"(5000000, 10000000]"
2019,1,2.4,1.8,3.7,2.5,Industrials,Research & Consulting Services,1971,M,0.0,5 to 10 years,New Jersey,"(5000000, 10000000]"
2020,1,1.55,1.2,8.1,-2.2,Industrials,Research & Consulting Services,1971,M,1.0,<= 2 years,New Jersey,"(5000000, 10000000]"
2021,0,0.09,4.7,5.4,5.8,Industrials,Research & Consulting Services,1971,M,0.0,<= 2 years,New Jersey,"(5000000, 10000000]"
2022,0,0.08,8.0,3.6,1.9,Industrials,Research & Consulting Services,1971,M,0.0,<= 2 years,New Jersey,"(5000000, 10000000]"
2023,1,4.33,3.2,3.5,2.5,Industrials,Research & Consulting Services,1971,M,0.0,2 to 5 years,New Jersey,"(5000000, 10000000]"
2015,1,0.11,0.1,5.3,2.9,Information Technology,Internet Services & Infrastructure,1995,M,0.0,2 to 5 years,Virginia,"(10000000, 15000000]"
2016,0,0.34,1.3,4.9,1.8,Information Technology,Internet Services & Infrastructure,1995,M,0.0,2 to 5 years,Virginia,"(10000000, 15000000]"
2017,1,0.65,2.1,4.4,2.5,Information Technology,Internet Services & Infrastructure,1995,M,0.0,5 to 10 years,Virginia,"(10000000, 15000000]"
2018,1,1.41,2.4,3.9,3.0,Information Technology,Internet Services & Infrastructure,1995,M,0.0,5 to 10 years,Virginia,"(10000000, 15000000]"
2019,1,2.4,1.8,3.7,2.5,Information Technology,Internet Services & Infrastructure,1995,M,0.0,5 to 10 years,Virginia,"(10000000, 15000000]"
2020,0,1.55,1.2,8.1,-2.2,Information Technology,Internet Services & Infrastructure,1995,M,0.0,5 to 10 years,Virginia,"(10000000, 15000000]"
2021,0,0.09,4.7,5.4,5.8,Information Technology,Internet Services & Infrastructure,1995,M,0.0,5 to 10 years,Virginia,"(10000000, 15000000]"
2022,1,0.08,8.0,3.6,1.9,Information Technology,Internet Services & Infrastructure,1995,M,1.0,<= 2 years,Virginia,"(10000000, 15000000]"
